ages,list_price,num_reviews,piece_count,play_star_rating,prod_id,review_difficulty,theme_name,val_star_rating,country
6-12,29.99,2.0,277.0,4.0,75823.0,Average,Angry Birds™,4.0,US
6-12,19.99,2.0,168.0,4.0,75822.0,Easy,Angry Birds™,4.0,US
6-12,12.99,11.0,74.0,4.3,75821.0,Easy,Angry Birds™,4.1,US
12+,99.99,23.0,1032.0,3.6,21030.0,Average,Architecture,4.3,US
12+,79.99,14.0,744.0,3.2,21035.0,Challenging,Architecture,4.1,US
12+,59.99,7.0,597.0,3.7,21039.0,Average,Architecture,4.4,US
12+,59.99,37.0,598.0,3.7,21028.0,Average,Architecture,4.1,US
12+,49.99,24.0,780.0,4.4,21029.0,Average,Architecture,4.3,US
12+,39.99,23.0,468.0,3.6,21034.0,Average,Architecture,4.1,US
12+,39.99,11.0,444.0,3.6,21033.0,Average,Architecture,4.5,US
12+,39.99,14.0,386.0,4.1,21036.0,Average,Architecture,3.6,US
12+,34.99,53.0,321.0,3.2,21019.0,Average,Architecture,4.4,US
12+,29.99,7.0,361.0,4.2,21032.0,Easy,Architecture,4.2,US
7-12,159.99,63.0,847.0,3.8,17101.0,Average,BOOST,3.5,US
10+,29.99,13.0,708.0,4.7,41597.0,Average,BrickHeadz,4.8,US
10+,19.99,1.0,234.0,3.0,41614.0,Easy,BrickHeadz,5.0,US
10+,19.99,1.0,160.0,5.0,41613.0,Very Easy,BrickHeadz,5.0,US
10+,9.99,1.0,149.0,2.0,41609.0,Very Easy,BrickHeadz,4.0,US
10+,9.99,1.0,141.0,2.0,41608.0,Very Easy,BrickHeadz,4.0,US
10+,9.99,3.0,101.0,4.0,41604.0,Average,BrickHeadz,4.5,US
10+,9.99,2.0,105.0,3.0,41605.0,Easy,BrickHeadz,5.0,US
10+,9.99,1.0,113.0,5.0,41606.0,Easy,BrickHeadz,5.0,US
10+,9.99,1.0,136.0,,41607.0,,BrickHeadz,,US
10+,9.99,2.0,91.0,3.0,41485.0,Easy,BrickHeadz,4.0,US
10+,9.99,7.0,140.0,3.2,40270.0,Easy,BrickHeadz,4.7,US
10+,9.99,5.0,143.0,4.6,41599.0,Easy,BrickHeadz,5.0,US
10+,9.99,3.0,122.0,2.7,41598.0,Very Easy,BrickHeadz,3.0,US
10+,9.99,5.0,130.0,4.3,41603.0,Easy,BrickHeadz,4.8,US
10+,9.99,3.0,119.0,4.5,41602.0,Easy,BrickHeadz,4.5,US
10+,9.99,1.0,135.0,1.0,41600.0,Very Easy,BrickHeadz,3.0,US
10+,9.99,2.0,108.0,3.5,41601.0,Easy,BrickHeadz,4.0,US
10+,19.99,1.0,240.0,3.0,41611.0,Easy,BrickHeadz,5.0,US
10+,19.99,,209.0,,41610.0,,BrickHeadz,,US
10+,9.99,4.0,126.0,2.0,40271.0,Easy,BrickHeadz,4.5,US
10+,9.99,7.0,102.0,4.0,41487.0,Easy,BrickHeadz,4.7,US
10+,9.99,5.0,89.0,3.2,41488.0,Very Easy,BrickHeadz,4.0,US
10+,9.99,6.0,118.0,3.3,41594.0,Very Easy,BrickHeadz,4.7,US
10+,9.99,3.0,127.0,3.5,41486.0,Very Easy,BrickHeadz,4.7,US
10+,9.99,11.0,91.0,3.8,41585.0,Very Easy,BrickHeadz,4.7,US
10+,9.99,8.0,96.0,4.0,41590.0,Easy,BrickHeadz,4.4,US
10+,9.99,9.0,109.0,3.6,41593.0,Easy,BrickHeadz,4.6,US
10+,9.99,8.0,93.0,3.9,41592.0,Easy,BrickHeadz,4.1,US
10+,9.99,10.0,139.0,4.2,41595.0,Easy,BrickHeadz,4.7,US
10+,9.99,2.0,116.0,5.0,41596.0,Average,BrickHeadz,5.0,US
10+,9.99,12.0,151.0,3.3,41588.0,Easy,BrickHeadz,4.7,US
10+,9.99,4.0,143.0,3.5,41591.0,Easy,BrickHeadz,4.8,US
10+,9.99,10.0,101.0,4.3,41587.0,Very Easy,BrickHeadz,4.9,US
10+,9.99,9.0,99.0,3.5,41586.0,Easy,BrickHeadz,4.6,US
5-12,49.99,,387.0,,60175.0,,City,,US
6-12,199.99,35.0,888.0,4.7,60052.0,Average,City,3.8,US
6-12,149.99,45.0,610.0,4.4,60051.0,Average,City,4.0,US
8-12,149.99,1.0,1250.0,5.0,60162.0,Average,City,4.0,US
6-12,119.99,3.0,792.0,3.3,60167.0,Average,City,3.3,US
8-12,119.99,6.0,813.0,4.5,60161.0,Average,City,4.0,US
6-12,99.99,10.0,894.0,4.2,60141.0,Easy,City,4.0,US
7-12,99.99,1.0,883.0,5.0,60188.0,,City,5.0,US
6-12,99.99,16.0,919.0,4.5,60110.0,Average,City,4.6,US
6-12,89.99,8.0,663.0,4.4,60174.0,Average,City,4.0,US
6-12,79.99,4.0,740.0,5.0,60169.0,Average,City,4.3,US
